"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 07 18:19:45 GMT 2023","Sun May 07 18:19:51 GMT 2023","6432","","tests.IssueTest","","tests.IssueTest","testIssueListener","Тест Issue с Listener",""
"passed","Sun May 07 18:20:13 GMT 2023","Sun May 07 18:20:13 GMT 2023","81","","tests.ZipFilesTest","","tests.ZipFilesTest","jsonHeroesTest","Парсинг json",""
"passed","Sun May 07 18:20:10 GMT 2023","Sun May 07 18:20:11 GMT 2023","913","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPDF","zipTestPDF()",""
"passed","Sun May 07 18:19:51 GMT 2023","Sun May 07 18:20:07 GMT 2023","15311","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","sportMast","sportMast()",""
"failed","Sun May 07 18:19:27 GMT 2023","Sun May 07 18:19:38 GMT 2023","11384","","tests.IssueTest","","tests.IssueTest","anotherTestIssue","Проверка страницы Issue",""
"passed","Sun May 07 18:20:13 GMT 2023","Sun May 07 18:20:13 GMT 2023","46","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestArchive","zipTestArchive()",""
"passed","Sun May 07 18:20:11 GMT 2023","Sun May 07 18:20:13 GMT 2023","1301","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestXlsx","Чтение файла Xlsx в zip",""
"passed","Sun May 07 18:20:07 GMT 2023","Sun May 07 18:20:10 GMT 2023","3174","","tests.IssueTestWithoutAutorithation","","tests.IssueTestWithoutAutorithation","issueTest","issueTest()",""
"failed","Sun May 07 18:19:38 GMT 2023","Sun May 07 18:19:45 GMT 2023","6598","","tests.IssueTest","","tests.IssueTest","issueTest","Проверка страницы Issue",""
"passed","Sun May 07 18:20:10 GMT 2023","Sun May 07 18:20:10 GMT 2023","50","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestCvs","Чтение файла Csv в zip",""
"passed","Sun May 07 18:20:11 GMT 2023","Sun May 07 18:20:11 GMT 2023","485","","tests.ZipFilesTest","","tests.ZipFilesTest","zipTestPdf","Чтение файла pdf в zip",""
